launchTime, launchX, launchY, landTime, landX, landY, FlightTime, Distance
148.106430, 2959.678376, -2965.297720, 148.632785, 2993.965408, -2974.484902, 0.526356, 35.496547
148.106430, 2303.952017, -2661.472218, 148.601164, 2348.855398, -2673.504043, 0.494735, 46.487401
161.596472, 2871.807372, -3099.049023, 162.130059, 2906.237829, -3108.274637, 0.533586, 35.645032
161.596472, 2931.819851, -3046.127464, 162.912333, 3013.212944, -3067.936678, 1.315860, 84.264331
161.596472, 2961.012803, -2960.907400, 162.984130, 3043.873317, -2983.109808, 1.387658, 85.783517
175.306539, 2904.656117, -3066.255652, 175.840125, 2938.919145, -3075.436402, 0.533586, 35.471697
175.306539, 2646.026898, -2632.406811, 175.732656, 2689.063686, -2643.938483, 0.426117, 44.554962
124.625874, 1791.061870, -3919.000737, 125.008202, 1821.855945, -3927.251984, 0.382328, 31.880372
124.625874, 2073.393506, -3829.737467, 126.396189, 2394.024679, -3915.650331, 1.770315, 331.941816
124.625874, 2076.373813, -3793.308552, 125.008202, 2113.162250, -3803.165984, 0.382328, 38.086193
127.201268, 1674.419330, -3889.642531, 128.033915, 1765.575761, -3914.067824, 0.832647, 94.372082
127.201268, 1791.718600, -3913.960213, 127.920772, 1853.397153, -3930.486931, 0.719504, 63.854337
128.741613, 1378.933522, -3893.338771, 129.398656, 1449.823898, -3912.333790, 0.657044, 73.391118
128.741613, 2074.950458, -3830.401157, 129.286017, 2129.357658, -3844.979522, 0.544404, 56.326478
129.894919, 1987.497702, -3928.166912, 130.417632, 2024.209974, -3938.003936, 0.522712, 38.007341
132.070625, 1357.659073, -3889.586647, 132.794193, 1417.569192, -3905.639515, 0.723568, 62.023519
132.070625, 1402.501076, -3948.220786, 132.736857, 1447.970804, -3960.404362, 0.666232, 47.073726
158.324875, 1671.037504, -3932.920549, 159.040252, 1745.384679, -3952.841815, 0.715377, 76.969859
120.000000, 794.289295, -3879.707924, 121.255222, 903.848837, -3909.064315, 1.255222, 113.424385
120.000000, -554.748744, -3711.707426, 120.385248, -518.381418, -3721.452021, 0.385248, 37.650226
120.000000, -18.340216, -3805.921597, 120.661168, 57.041388, -3826.120037, 0.661168, 78.040780
140.186922, -387.435680, -3691.009204, 140.554145, -352.440429, -3700.386153, 0.367224, 36.229750
161.583854, -420.691648, -3697.618545, 161.899060, -388.297082, -3706.298643, 0.315205, 33.537322
120.000000, -2141.789638, -2312.700645, 120.439192, -2112.532748, -2320.540005, 0.439192, 30.288962
153.900034, -2381.755212, -2190.005780, 154.329394, -2339.696373, -2201.275412, 0.429360, 43.542514
167.770234, -2185.316635, -2319.189401, 169.086094, -2099.627689, -2342.149685, 1.315860, 88.711724
156.479578, 448.647375, -3783.158196, 157.415158, 544.148632, -3808.747681, 0.935581, 98.870177
120.000000, 2911.183528, -2988.562273, 121.208164, 2991.021909, -3009.954903, 1.208164, 82.654774
180.000000, 5259.719165, -1498.042474, 180.584200, 5268.847380, -1537.581116, 0.584200, 40.578670
180.000000, 5852.697930, -1355.372792, 180.592877, 5866.023348, -1413.091521, 0.592877, 59.236969
180.000000, 5920.916622, -944.761230, 180.820068, 5935.791019, -1009.189322, 0.820068, 66.122815
191.952130, 5958.615318, -960.486973, 192.819598, 5973.252446, -1023.887340, 0.867468, 65.068058
218.599217, 5343.353836, -1470.822316, 219.176186, 5352.448448, -1510.215408, 0.576969, 40.429293
218.599217, 5960.586232, -1324.249062, 219.224495, 5973.075165, -1378.344576, 0.625278, 55.518448
229.195739, 5426.721670, -1467.685804, 229.794400, 5435.879674, -1507.353477, 0.598661, 40.711095
229.195739, 5955.332491, -1209.810659, 229.911116, 5968.149432, -1265.326932, 0.715377, 56.976578
180.000000, 4696.032734, -2121.333120, 180.478416, 4703.878442, -2155.316617, 0.478416, 34.877402
180.000000, 2735.863627, -3231.797285, 180.930669, 2750.073164, -3293.345555, 0.930669, 63.167243
207.469119, 2688.979423, -2642.371897, 208.119000, 2699.817361, -2689.316165, 0.649881, 48.179095
233.350665, 2459.181844, -3273.065037, 233.927634, 2468.565709, -3313.711020, 0.576969, 41.715139
233.350665, 2908.529154, -3303.457960, 233.891481, 2917.552696, -3342.543212, 0.540817, 40.113355
233.350665, 2928.813615, -2789.975220, 233.842148, 2940.346446, -2839.929397, 0.491483, 51.268177
233.350665, 2721.658731, -2654.479004, 233.747929, 2731.573120, -2697.422940, 0.397265, 44.073539
190.067149, 1809.752143, -3973.319369, 190.561884, 1819.996988, -4017.694668, 0.494735, 45.542551
216.844874, 1341.331670, -3935.463226, 217.425430, 1352.507412, -3983.870682, 0.580556, 49.680771
180.000000, -390.299508, -3701.696254, 181.434717, -369.080091, -3793.607648, 1.434717, 94.329041
180.000000, 370.021605, -3890.959800, 180.903980, 390.154045, -3978.162979, 0.903980, 89.496981
214.543309, -773.871389, -3503.776115, 215.399888, -754.576822, -3587.350070, 0.856580, 85.772293
226.328923, 1000.282885, -3900.559195, 226.758283, 1010.051455, -3942.871521, 0.429360, 43.425314
221.957689, -1024.439917, -1167.632130, 223.094055, -1006.996346, -1243.188535, 1.136366, 77.543849
194.535299, -2112.995519, -2380.412476, 194.929583, -2105.377091, -2413.411513, 0.394284, 33.867047
238.332786, -1990.004513, -2444.984259, 239.157765, -1975.329390, -2508.549198, 0.824979, 65.236957
217.621863, 2252.201101, -3881.110949, 217.984093, 2260.632445, -3917.631111, 0.362230, 37.480791
180.000000, 6025.482952, -1047.696458, 180.503640, 6033.364996, -1081.837343, 0.503640, 35.038930
180.000000, 6021.428328, -1061.064511, 181.387658, 6040.405674, -1143.264426, 1.387658, 84.362111
180.000000, 5907.567002, -1324.636196, 180.384561, 5914.348623, -1354.010625, 0.384561, 30.147096
180.000000, 6002.789247, -1158.005531, 180.555278, 6011.721422, -1196.695034, 0.555278, 39.707195
191.816322, 6064.599510, -1114.404539, 192.422213, 6073.851790, -1154.480568, 0.605891, 41.130193
180.000000, 2969.990397, -3083.678203, 180.533586, 2977.985105, -3118.307085, 0.533586, 35.539764
214.356634, 2465.509876, -3231.751798, 214.815438, 2475.634861, -3275.607927, 0.458804, 45.009724
214.356634, 2426.893602, -3207.446822, 215.181613, 2439.843609, -3263.539465, 0.824979, 57.568110
190.634926, 2901.164582, -3114.699681, 191.168513, 2909.182970, -3149.431133, 0.533586, 35.645032
